127.0.0.1 - - [28/May/2024:19:50:51 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/May/2024:19:50:52 +0700] "GET /new-jdbc-5-month-2024/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:50:52 +0700] "GET /new-jdbc-5-month-2024/trang-chu HTTP/1.1" 500 1820
0:0:0:0:0:0:0:1 - - [28/May/2024:19:50:53 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/trang-chu HTTP/1.1" 200 85665
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/fonts/fontawesome-5%20.0.8/css/fontawesome-all.min.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/vendor/animate/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/fonts/iconic/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/vendor/animsition/css/animsition.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/css/util.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/css/main.css HTTP/1.1" 200 35221
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/images/icons/news24h-high-resolution-logo.png HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/images/icons/icon-night.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/images/icons/news24h-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/vendor/animsition/js/animsition.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
